subject_code,subject_name
IT 062,Modelig & Simulatio
IT 063,Bioiformatics
IT 064,Kowledge bases & decisio support System
IT 065,Geographic Iformatio System
CS 066,DAta Warehousig ad Data Miig
CS 070,Huma Computer Iterface
IT 066,EBusiess Strategies
CS 067,Distributed Database
IT 067,Big Data
OE 071,Ebterpreeurship Developmet
OE 072,Quality Maagemet
OE 073,Opratios Research
OE 074,Itroductio to Bio Techology
OE 075,Mobile Applicatio Developmet
OE 076,Ethical Hackig ad Prevetio
OE 077,Software Project Maagemet
OE 082 , o Liear Dyamics Systems 
 OE 083 , Product Developmet 
 OE 084, Automatio ad Robotics 
 OE 081, o Covetioal Eergy Resources 
CS 071 ,Software Testig ad Audit 
CS 072, eural etwork 
IT 071 ,IT i Foresic Sciece
CS 074 ,High speed etwork
CS 075,adroid operatig system
CS 076,Service Orieted Architecture
CS 071 ,Distributed System
CS 073,omputer visio
CS 080 ,Patter Recogitio
CS 082,Real Time System
CS 084,Grid Computig
CS 081,Digital Image Processig
IT 080 ,atural Laguage Processig
CS 085,Data Compressio
CS 087,Embedded System
CS 088,Sematic:Web ad Web Services
IT 081 ,Software Quality Egieerig
IT082,Software Relaibiiity
